game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against
2022_16_NO_CLE,2022,16,CLE,NO,10,17,0,22.357142857142858,23.285714285714285,20.428571428571427,22.5
2022_16_NYG_MIN,2022,16,MIN,NYG,27,24,1,25.071428571428573,24.928571428571427,20.5,22.285714285714285
2022_16_PHI_DAL,2022,16,DAL,PHI,40,34,1,28.142857142857142,19.214285714285715,29.357142857142858,19.142857142857142
2022_16_SEA_KC,2022,16,KC,SEA,24,10,1,29.571428571428573,23.0,25.357142857142858,25.357142857142858
2022_16_TB_ARI,2022,16,ARI,TB,16,19,0,20.857142857142858,26.571428571428573,17.642857142857142,20.571428571428573
2022_16_WAS_SF,2022,16,SF,WAS,37,20,1,24.142857142857142,15.0,18.928571428571427,19.714285714285715
2022_17_ARI_ATL,2022,17,ATL,ARI,20,19,1,21.0,23.333333333333332,20.533333333333335,26.066666666666666
2022_17_CAR_TB,2022,17,TB,CAR,30,24,1,17.733333333333334,20.266666666666666,20.866666666666667,22.466666666666665
2022_17_CHI_DET,2022,17,DET,CHI,41,10,1,26.133333333333333,26.733333333333334,20.2,26.2
2022_17_CLE_WAS,2022,17,WAS,CLE,10,24,0,19.0,20.866666666666667,21.533333333333335,22.866666666666667
2022_17_DAL_TEN,2022,17,TEN,DAL,13,27,0,17.933333333333334,20.8,28.933333333333334,20.2
2022_17_DEN_KC,2022,17,KC,DEN,27,24,1,29.2,22.133333333333333,15.466666666666667,20.266666666666666
2022_17_IND_NYG,2022,17,NYG,IND,38,10,1,20.733333333333334,22.6,16.533333333333335,23.8
2022_17_JAX_HOU,2022,17,HOU,JAX,3,31,0,16.933333333333334,23.866666666666667,23.533333333333335,22.066666666666666
2022_17_LA_LAC,2022,17,LAC,LA,31,10,1,22.133333333333333,22.866666666666667,18.733333333333334,22.266666666666666
2022_17_MIA_NE,2022,17,NE,MIA,23,21,1,21.2,19.4,24.333333333333332,24.666666666666668
2022_17_MIN_GB,2022,17,GB,MIN,41,17,1,20.866666666666667,22.266666666666666,25.2,24.866666666666667
