game_id,season,week,home_team,away_team,home_score,away_score,home_win,home_team_avg_points_for,home_team_avg_points_against,away_team_avg_points_for,away_team_avg_points_against,home_recent_form,away_recent_form,home_field_advantage
2025_11_DET_PHI,2025,11,PHI,DET,16.0,9.0,1,24.22222222222222,21.333333333333332,31.444444444444443,22.22222222222222,22.0,29.2,1
2025_11_GB_NYG,2025,11,NYG,GB,20.0,27.0,0,21.7,27.3,23.666666666666668,19.555555555555557,26.0,21.8,1
2025_11_HOU_TEN,2025,11,TEN,HOU,13.0,16.0,0,14.444444444444445,28.555555555555557,22.666666666666668,16.666666666666668,15.8,28.0,1
2025_11_KC_DEN,2025,11,DEN,KC,22.0,19.0,1,23.5,17.3,26.11111111111111,17.666666666666668,23.6,27.6,1
2025_11_LAC_JAX,2025,11,JAX,LAC,35.0,6.0,1,22.77777777777778,24.444444444444443,24.0,20.3,21.8,28.4,1
2025_11_NYJ_NE,2025,11,NE,NYJ,27.0,14.0,1,26.5,19.2,21.666666666666668,26.77777777777778,28.0,21.0,1
2025_11_SEA_LA,2025,11,LA,SEA,21.0,19.0,1,27.88888888888889,17.0,30.555555555555557,19.11111111111111,30.2,32.8,1
2025_11_SF_ARI,2025,11,ARI,SF,22.0,41.0,0,22.444444444444443,23.88888888888889,22.0,23.0,24.0,22.8,1
2025_11_TB_BUF,2025,11,BUF,TB,44.0,32.0,1,27.555555555555557,21.88888888888889,24.444444444444443,22.88888888888889,23.0,24.6,1
2025_11_WAS_MIA,2025,11,MIA,WAS,16.0,13.0,1,21.0,25.6,22.3,28.0,20.6,17.8,1
2025_12_ATL_NO,2025,12,NO,ATL,10.0,24.0,0,15.5,25.0,19.5,23.9,12.6,19.0,1
2025_12_BUF_HOU,2025,12,HOU,BUF,23.0,19.0,1,22.0,16.3,29.2,22.9,22.4,27.8,1
2025_12_CAR_SF,2025,12,SF,CAR,20.0,9.0,1,23.727272727272727,22.90909090909091,18.818181818181817,22.636363636363637,27.2,15.0,1
2025_12_CLE_LV,2025,12,LV,CLE,10.0,24.0,0,15.5,25.3,16.2,23.4,14.4,17.8,1
2025_12_IND_KC,2025,12,KC,IND,23.0,20.0,1,25.4,18.1,32.1,20.6,25.8,31.6,1
2025_12_JAX_ARI,2025,12,ARI,JAX,24.0,27.0,0,22.4,25.6,24.0,22.6,24.2,22.6,1
2025_12_MIN_GB,2025,12,GB,MIN,23.0,6.0,1,24.0,19.6,21.8,23.2,21.8,19.0,1
2025_12_NE_CIN,2025,12,CIN,NE,20.0,26.0,0,22.8,33.4,26.545454545454547,18.727272727272727,28.6,28.4,1
2025_12_NYG_DET,2025,12,DET,NYG,34.0,27.0,1,29.2,21.6,21.545454545454547,27.272727272727273,23.6,23.2,1
2025_12_NYJ_BAL,2025,12,BAL,NYJ,23.0,10.0,1,25.2,25.1,20.9,26.8,22.2,19.4,1
2025_12_PHI_DAL,2025,12,DAL,PHI,24.0,21.0,1,29.6,29.3,23.4,20.1,29.0,21.8,1
2025_12_PIT_CHI,2025,12,CHI,PIT,31.0,28.0,1,25.8,26.4,24.6,23.2,26.4,25.4,1
2025_12_SEA_TEN,2025,12,TEN,SEA,24.0,30.0,0,14.3,27.3,29.4,19.3,14.0,29.6,1
2025_12_TB_LA,2025,12,LA,TB,34.0,7.0,1,27.2,17.2,25.2,25.0,29.8,23.4,1
2025_13_ARI_TB,2025,13,TB,ARI,20.0,17.0,1,23.545454545454547,25.818181818181817,22.545454545454547,25.727272727272727,18.8,23.6,1
2025_13_ATL_NYJ,2025,13,NYJ,ATL,27.0,24.0,1,19.90909090909091,26.454545454545453,19.90909090909091,22.636363636363637,19.2,21.8,1
2025_13_BUF_PIT,2025,13,PIT,BUF,7.0,26.0,0,24.90909090909091,23.90909090909091,28.272727272727273,22.90909090909091,24.8,28.8,1
2025_13_CHI_PHI,2025,13,PHI,CHI,15.0,24.0,0,23.181818181818183,20.454545454545453,26.272727272727273,26.545454545454547,22.6,27.4,1
2025_13_CIN_BAL,2025,13,BAL,CIN,14.0,32.0,0,25.0,23.727272727272727,22.545454545454547,32.72727272727273,26.2,29.0,1
2025_13_DEN_WAS,2025,13,WAS,DEN,26.0,27.0,0,21.454545454545453,26.90909090909091,23.363636363636363,17.454545454545453,15.6,25.4,1
2025_13_GB_DET,2025,13,DET,GB,24.0,31.0,0,29.636363636363637,22.09090909090909,23.90909090909091,18.363636363636363,27.0,21.0,1
2025_13_HOU_IND,2025,13,IND,HOU,16.0,20.0,0,31.0,20.818181818181817,22.09090909090909,16.545454545454547,29.4,23.2,1
2025_13_JAX_TEN,2025,13,TEN,JAX,3.0,25.0,0,15.181818181818182,27.545454545454547,24.272727272727273,22.727272727272727,16.8,25.6,1
2025_13_KC_DAL,2025,13,DAL,KC,31.0,28.0,1,29.09090909090909,28.545454545454547,25.181818181818183,18.272727272727273,28.4,24.4,1
2025_13_LA_CAR,2025,13,CAR,LA,31.0,28.0,1,18.0,22.416666666666668,27.818181818181817,16.272727272727273,14.2,33.2,1
2025_13_LV_LAC,2025,13,LAC,LV,31.0,14.0,1,22.363636363636363,21.636363636363637,15.0,25.181818181818183,23.8,12.4,1
